,sex,age,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,famsup,internet,romantic,famrel,freetime,goout,Dalc,health,absences,G1,G2,G3
0,1,18,0,0,4,4,2,2,0,0,0,0,4,3,4,2,3,6,5,6,6
1,1,17,0,1,1,1,1,2,0,1,1,0,5,3,3,2,3,4,5,5,6
2,1,15,1,1,1,1,1,2,3,0,1,0,4,3,2,5,3,10,7,8,10
3,1,15,0,1,4,2,1,3,0,1,1,1,3,2,2,2,5,2,15,14,15
4,1,16,0,1,3,3,1,2,0,1,0,0,4,3,2,3,5,4,6,10,10
5,0,16,1,1,4,3,1,2,0,1,1,0,5,4,2,3,5,10,15,15,15
6,0,16,1,1,2,2,1,2,0,0,1,0,4,4,4,2,3,0,12,12,11
7,1,17,0,0,4,4,2,2,0,1,0,0,4,1,4,2,1,6,6,5,6
8,0,15,1,0,3,2,1,2,0,1,1,0,4,2,2,2,1,0,16,18,19
9,0,15,0,1,3,4,1,2,0,1,1,0,5,5,1,2,5,0,14,15,15
10,1,15,0,1,4,4,1,2,0,1,1,0,3,3,3,3,2,0,10,8,9
11,1,15,0,1,2,1,3,3,0,1,1,0,5,2,2,2,4,4,10,12,12
12,0,15,1,1,4,4,1,1,0,1,1,0,4,3,3,4,5,2,14,14,14
13,0,15,0,1,4,3,2,2,0,1,1,0,5,4,3,3,3,2,10,10,11
14,0,15,0,0,2,2,1,3,0,1,1,1,4,5,2,2,3,0,14,16,16
15,1,16,0,1,4,4,1,1,0,1,1,0,4,4,4,3,2,4,14,14,14
16,1,16,0,1,4,4,1,3,0,1,1,0,3,2,3,3,2,6,13,14,14
17,1,16,0,1,3,3,3,2,0,1,0,0,5,3,2,2,4,4,8,10,10
18,0,17,0,1,3,2,1,1,3,1,1,0,5,5,5,6,5,16,6,5,5
19,0,16,1,1,4,3,1,1,0,0,1,0,3,1,3,4,5,4,8,10,10
20,0,15,0,1,4,3,1,2,0,0,1,0,4,4,1,2,1,0,13,14,15
21,0,15,0,1,4,4,1,1,0,1,1,0,5,4,2,2,5,0,12,15,15
